"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","DEFAULT_LENGTH","DATA_DEFAULT"
"AD_JOBS","MIN_SALARY","NUMBER",22,6,0,"Y",3,,
"AD_JOBS","MAX_SALARY","NUMBER",22,6,0,"Y",4,,
"AD_PARENT_INFORMATION","PARENT_ID","NUMBER",22,,,"N",1,,
"AD_PARENT_INFORMATION","FATHER_NAME","VARCHAR2",50,,,"Y",2,,
"AD_PARENT_INFORMATION","MOTHER_NAME","VARCHAR2",50,,,"Y",3,,
"AD_STUDENT_ATTENDANCE","STUDENT_ID","NUMBER",22,,,"Y",1,,
"AD_STUDENT_ATTENDANCE","NO_OF_WORKING_DAYS","NUMBER",22,,,"Y",2,,
"AD_STUDENT_ATTENDANCE","NO_OF_DAYS_OFF","NUMBER",22,,,"Y",3,,
"AD_STUDENT_ATTENDANCE","ELIGIBILITY_FOR_EXAMS","CHAR",1,,,"Y",4,,
"AD_STUDENT_COURSE_DETAILS","STUDENT_ID","NUMBER",22,,,"Y",1,,
"AD_STUDENT_COURSE_DETAILS","COURSE_ID","NUMBER",22,,,"Y",2,,
"AD_STUDENT_COURSE_INFO","COURSE_NAME","VARCHAR2",50,,,"Y",1,,
"AD_STUDENT_COURSE_INFO","COURSE_ID","NUMBER",22,,,"N",2,,
"AD_STUDENT_COURSE_INFO","DEPARTMENT_NAME","VARCHAR2",50,,,"Y",3,,
"AD_STUDENT_COURSE_INFO","DEPARTMENT_HEAD","VARCHAR2",50,,,"Y",4,,
"AD_STUDENT_COURSE_INFO","INSTRUCTOR","VARCHAR2",46,,,"Y",5,,
"AD_STUDENT_COURSE_INFO","INSTRUCTOR_SINCE","DATE",7,,,"N",6,,
"AD_STUDENT_COURSE_INFO","INSTRUCTOR_TITLE","VARCHAR2",35,,,"Y",7,,
"AD_STUDENT_COURSE_INFO","INSTRUCTOR_EMAIL","VARCHAR2",41,,,"Y",8,,
"AD_STUDENT_COURSE_INFO","STUDENT","VARCHAR2",50,,,"Y",9,,
"AD_STUDENT_COURSE_INFO","STUDENT_REG_YEAR","DATE",7,,,"Y",10,,
"AD_STUDENT_COURSE_INFO","SESSION_NAME","VARCHAR2",50,,,"Y",11,,
"AD_STUDENT_DETAILS","STUDENT_ID","NUMBER",22,,,"N",1,,
"AD_STUDENT_DETAILS","FIRST_NAME","VARCHAR2",50,,,"Y",2,,
"AD_STUDENT_DETAILS","PARENT_ID","NUMBER",22,,,"Y",3,,
"AD_STUDENT_DETAILS","STUDENT_REG_YEAR","DATE",7,,,"Y",4,,
"AD_STUDENT_DETAILS","EMAIL_ADDR","VARCHAR2",100,,,"Y",5,,
